Date,Tweet_id,User_name,Screen_name,Location,Tweet
10-08-2010,1.12246e+18,b'Delhi Capitals',b'DelhiCapitals',"b'New Delhi, India'",b'.@RishabPant777 is off the mark. How many will he score in his 50th @IPL game? \xf0\x9f\xa4\x94\n\n#DC - 105/2 in 12.4 overs.\xe2\x80\xa6 https://t.co/dRUHhhqUun'
08-05-2009,1.12246e+18,b'The Indian Express',b'IndianExpress',b'India',b'RT @IExpressSports: Defending champions Chennai Super Kings became the first team to qualify for #IPL2019 playoffs\n\nhttps://t.co/sQNHN7fmjf'
13-08-2013,1.12246e+18,b'Express Sports',b'IExpressSports',b'New Delhi',b'Defending champions Chennai Super Kings became the first team to qualify for #IPL2019 playoffs\n\nhttps://t.co/sQNHN7fmjf'
02-03-2011,1.12246e+18,b'Circle of Cricket',b'circleofcricket',b'',b'Former #KKR captain @GautamGambhir urges the team members to support @DineshKarthik to end their 6-match losing str\xe2\x80\xa6 https://t.co/yBMA8Odjk6'
15-07-2011,1.12246e+18,b'Firstpost Sports',b'FirstpostSports',b'India',b'@SDhawan25 OUT! Dhawan falls immediately after reaching fifty! Chahal gets a wicket.\n\n#DC 103/2 (12.2)\n\nFollow Live\xe2\x80\xa6 https://t.co/ZXQ3fpkYve'
16-03-2011,1.12246e+18,b'NDTV Sports',b'Sports_NDTV',"b'New Delhi, India'","b'RT @CricketNDTV: SunRisers Hyderabad vs Kings XI Punjab: When and where to watch live telecast, live streaming\n\n#sunrisershyderabad\n#KingsX\xe2\x80\xa6'"
01-05-2009,1.12246e+18,b'NDTV',b'ndtv',b'India',b'RT @CricketNDTV: IPL 2019: WICKET! Fifty and gone! RCB get a much-needed break.\n\nDhawan c Washington Sundar b Chahal 50(37) \n\n#DCvsRCB \n#DC\xe2\x80\xa6'
28-11-2008,1.12246e+18,b'DNA',b'dna',b'India',b'#IPL2019 #DCvsRCB Live: @DelhiCapitals lose their second wicket\n\nShikhar Dhawan completes half-century as he depart\xe2\x80\xa6 https://t.co/Z1WPw7RC2I'
27-12-2012,1.12246e+18,b'News Nation',b'NewsNationTV',"b'Noida, India'",b'Shikhar Dhawan reaches his 37th fifty but immediately falls to Yuzvendra Chahal. Can @DelhiCapitals capitalise or w\xe2\x80\xa6 https://t.co/N0JCPyFtia'
04-09-2009,1.12246e+18,b'CricketNDTV',b'CricketNDTV',b'India',b'IPL 2019: WICKET! Fifty and gone! RCB get a much-needed break.\n\nDhawan c Washington Sundar b Chahal 50(37)\xe2\x80\xa6 https://t.co/J4Fy0TvKHk'
13-01-2011,1.12246e+18,b'CricketCountry',b'cricket_country',b'Global',"b'#IPL2019 #KKRvMI \n\n@mipaltan face @KKRiders, a side they have dominated to boast a strong 18-5 record.\n\nFULL VIDEO\xe2\x80\xa6 https://t.co/glYAWneUeb'"
01-05-2009,1.12246e+18,b'NDTV',b'ndtv',b'India',"b'RT @CricketNDTV: SunRisers Hyderabad vs Kings XI Punjab: When and where to watch live telecast, live streaming\n\n#sunrisershyderabad\n#KingsX\xe2\x80\xa6'"
13-01-2011,1.12246e+18,b'CricketCountry',b'cricket_country',b'Global',b'#IPL2019 #iPL #DCvRCB #RCBvDC\n\nWICKET! Dhawan perishes after scoring his third successive fifty. Chahal strikes. DC\xe2\x80\xa6 https://t.co/pOre9BNaw8'
08-05-2009,1.12246e+18,b'The Indian Express',b'IndianExpress',b'India',"b'RT @IExpressSports: #IPL2019 #DCvRCB\n\nRCB get the much-needed wicket of Dhawan. Tries to sweep, gets a top edge and taken by Dhawan with ea\xe2\x80\xa6'"
13-08-2013,1.12246e+18,b'Express Sports',b'IExpressSports',b'New Delhi',"b'#IPL2019 #DCvRCB\n\nRCB get the much-needed wicket of Dhawan. Tries to sweep, gets a top edge and taken by Dhawan wit\xe2\x80\xa6 https://t.co/zG9NxhFagT'"
01-04-2010,1.12246e+18,b'TOI Sports',b'toisports',"b'New Delhi, India'",b'#IPL2019 | Match 46 | #DCvRCB | @DelhiCapitals | @RCBTweets\n\nOUT!\n\n@yuzi_chahal strikes to get rid of @SDhawan25 (5\xe2\x80\xa6 https://t.co/h7xjJeH1cp'
04-09-2009,1.12246e+18,b'CricketNDTV',b'CricketNDTV',b'India',"b'SunRisers Hyderabad vs Kings XI Punjab: When and where to watch live telecast, live streaming\n\n#sunrisershyderabad\xe2\x80\xa6 https://t.co/X8L5SUnXT5'"
29-07-2008,1.12246e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 12.2: WICKET! S Dhawan (50) is out, c Washington Sundar b Yuzvendra Chahal, 103/2 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
04-03-2009,1.12246e+18,b'Outlook Magazine',b'Outlookindia',"b'New Delhi, India'",b'Fifty for #ShikharDhawan in 36 balls. #DC-DC-102/1 after 12 overs. #Cricket #IPL #DCvRCB\n\nhttps://t.co/GAx7LXL56N'
15-07-2011,1.12246e+18,b'Firstpost Sports',b'FirstpostSports',b'India',b'FIFTY!\n\n@SDhawan25 completes his fifty in 36 deliveries\n\n#DC 102/1 (12.0)\n\nFollow Live: https://t.co/pDGzACNkUd\n\n#DCvRCB #IPL2019'
13-08-2013,1.12246e+18,b'Express Sports',b'IExpressSports',b'New Delhi',b'#IPL2019 #DCvRCB\n\nFIFTY! Shikhar Dhawan brings up his fifty from 36 deliveries. DC go past the 100-run mark after 1\xe2\x80\xa6 https://t.co/7zuHZZyfRb'
16-03-2011,1.12246e+18,b'NDTV Sports',b'Sports_NDTV',"b'New Delhi, India'",b'RT @CricketNDTV: IPL 2019: Shikhar Dhawan scores his 37th IPL fifty. Delhi Capitals 101/1 in 11.5 overs Royal Challengers Bangalore\n\n#DCvsR\xe2\x80\xa6'
01-05-2009,1.12246e+18,b'NDTV',b'ndtv',b'India',b'RT @CricketNDTV: IPL 2019: Shikhar Dhawan scores his 37th IPL fifty. Delhi Capitals 101/1 in 11.5 overs Royal Challengers Bangalore\n\n#DCvsR\xe2\x80\xa6'
29-07-2008,1.12246e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b""That's a half-century for @SDhawan25 off 36 deliveries.\n\n#DC 102/1 after 12 overs #DCvRCB https://t.co/DddK4n8lDa"""
04-09-2009,1.12246e+18,b'CricketNDTV',b'CricketNDTV',b'India',b'IPL 2019: Shikhar Dhawan scores his 37th IPL fifty. Delhi Capitals 101/1 in 11.5 overs Royal Challengers Bangalore\xe2\x80\xa6 https://t.co/PBZWEvxDzz'
01-10-2008,1.12246e+18,b'CricketNext',b'cricketnext',b'India',"b'FIFTY! @SDhawan25 brings up another fifty, he is on a roll at the moment.\n\n#DC 102/1 after 12 overs\n\nLive Blog:\xe2\x80\xa6 https://t.co/wbYVK3JRa1'"
22-04-2009,1.12246e+18,b'India TV',b'indiatvnews',b'India',b'#IPL2019 #DCvRCB: FIFTY! Shikhar Dhawan scores his 37th IPL half-century. Delhi Capitals 101/1 in 11.5 overs vs Roy\xe2\x80\xa6 https://t.co/N0NUtzw8SC'
01-04-2010,1.12246e+18,b'TOI Sports',b'toisports',"b'New Delhi, India'",b'#IPL2019 | Match 46 | #DCvRCB | @DelhiCapitals | @RCBTweets\n\nFIFTY!\n\n@SDhawan25 hits 36-ball 50 to lead Delhi Capit\xe2\x80\xa6 https://t.co/InN6SzFuB7'
29-03-2008,1.12246e+18,b'Cricbuzz',b'cricbuzz',b'',b'FIFTY for Shikhar Dhawan\n\n- 37th in #IPL\n- 5th in #IPL2019\n- Third on the trot\n\nRuns: 50 | Balls: 36 | Fours: 5 | S\xe2\x80\xa6 https://t.co/BqzY3bGOP9'
04-09-2009,1.12246e+18,b'CricketNDTV',b'CricketNDTV',b'India',b'IPL 2019: 100 up for Delhi Capitals in the 12th over\n\n#DCvsRCB \n#DCvRCB \n#IPL2019 \n#IPL \n\nLIVE UPDATES:\xe2\x80\xa6 https://t.co/fZuOhUFHvY'
01-04-2010,1.12246e+18,b'TOI Sports',b'toisports',"b'New Delhi, India'",b'#IPL2019 | Match 46 | #DCvRCB | @DelhiCapitals | @RCBTweets\n\n100 up for Delhi Capitals in 11.3 overs\n\nFOLLOW LIVE:\n\nhttps://t.co/uZ7iC18Hnx'
28-11-2008,1.12246e+18,b'DNA',b'dna',b'India',"b""Watch: '9 out of 12'- Virat Kohli reacts hilariously after losing another toss in IPL 2019 during DC vs RCB match\xe2\x80\xa6 https://t.co/SbmQHyOMJJ"""
